time,velocity
15.000000,50.000000
15.000000,50.000000
15.000000,50.000000
15.000000,50.000000
15.000000,49.908317
15.000000,50.000000
15.000000,50.000000
15.000000,50.000000
15.000000,50.000000
15.000000,50.000000
15.000000,50.000000
15.000000,50.000000
15.000000,50.000000
15.000000,43.886843
15.000000,50.000000
15.000000,50.000000
15.000000,50.000000
15.000000,50.000000
15.000000,50.000000
15.000000,50.000000
15.000000,50.000000
15.000000,49.984697
15.000000,50.000000
15.000000,50.000000
15.000000,40.964856
15.000000,50.000000
15.000000,50.000000
15.000000,50.000000
15.000000,50.000000
15.000000,50.000000
15.000000,45.468882
15.000000,50.000000
15.000000,50.000000
15.000000,50.000000
15.000000,50.000000
15.000000,50.000000
15.000000,48.820579
15.000000,50.000000
15.000000,50.000000
15.000000,50.000000
15.000000,50.000000
15.000000,50.000000
15.000000,50.000000
15.000000,50.000000
15.000000,50.000000
15.000000,9.013683
15.000000,50.000000
15.000000,50.000000
15.000000,50.000000
15.000000,9.390697
15.000000,50.000000
15.000000,50.000000
15.000000,50.000000
15.000000,50.000000
15.000000,50.000000
15.000000,50.000000
15.000000,50.000000
15.000000,50.000000
15.000000,50.000000
15.000000,50.000000
15.000000,50.000000
15.000000,49.110422
15.000000,50.000000
15.000000,50.000000
15.000000,50.000000
15.000000,50.000000
15.000000,50.000000
15.000000,50.000000
15.000000,50.000000
15.000000,50.000000
15.000000,50.000000
15.000000,49.985795
15.000000,50.000000
15.000000,50.000000
15.000000,50.000000
15.000000,50.000000
15.000000,50.000000
15.000000,50.000000
15.000000,50.000000
15.000000,49.999366
15.000000,50.000000
15.000000,49.987541
15.000000,50.000000
15.000000,50.000000
15.000000,50.000000
15.000000,50.000000
15.000000,50.000000
15.000000,50.000000
15.000000,50.000000
15.000000,50.000000
15.000000,50.000000
15.000000,50.000000
15.000000,50.000000
15.000000,50.000000
15.000000,50.000000
15.000000,50.000000
15.000000,50.000000
15.000000,50.000000
15.000000,50.000000
15.000000,35.054566
15.000000,50.000000
15.000000,50.000000
15.000000,50.000000
15.000000,50.000000
15.000000,50.000000
15.000000,50.000000
15.000000,50.000000
15.000000,50.000000
15.000000,50.000000
15.000000,50.000000
15.000000,50.000000
15.000000,50.000000
15.000000,50.000000
15.000000,50.000000
15.000000,50.000000
15.000000,50.000000
15.000000,50.000000
15.000000,50.000000
20.000000,50.000000
20.000000,50.000000
20.000000,50.000000
20.000000,50.000000
20.000000,50.000000
20.000000,50.000000
20.000000,50.000000
20.000000,50.000000
20.000000,50.000000
20.000000,50.000000
20.000000,50.000000
20.000000,50.000000
20.000000,50.000000
20.000000,50.000000
20.000000,50.000000
20.000000,50.000000
20.000000,50.000000
20.000000,50.000000
20.000000,50.000000
20.000000,50.000000
20.000000,50.000000
20.000000,50.000000
20.000000,50.000000
20.000000,50.000000
20.000000,50.000000
20.000000,50.000000
20.000000,50.000000
20.000000,50.000000
20.000000,50.000000
20.000000,50.000000
20.000000,50.000000
20.000000,50.000000
20.000000,50.000000
20.000000,45.587431
20.000000,50.000000
20.000000,50.000000
20.000000,50.000000
20.000000,50.000000
20.000000,50.000000
20.000000,50.000000
20.000000,50.000000
20.000000,50.000000
20.000000,50.000000
20.000000,50.000000
20.000000,50.000000
20.000000,50.000000
20.000000,50.000000
20.000000,50.000000
20.000000,50.000000
20.000000,50.000000
20.000000,50.000000
20.000000,50.000000
20.000000,50.000000
20.000000,50.000000
20.000000,44.106564
20.000000,50.000000
20.000000,50.000000
20.000000,50.000000
20.000000,50.000000
20.000000,50.000000
20.000000,50.000000
20.000000,50.000000
20.000000,50.000000
20.000000,50.000000
20.000000,50.000000
20.000000,50.000000
20.000000,50.000000
20.000000,50.000000
20.000000,50.000000
20.000000,50.000000
20.000000,50.000000
20.000000,50.000000
